season,date,match_name,result,h_odd,d_odd,a_odd,source_file
2004/2005,Unknown,Chelsea vs Norwich,4-0,-625.0,498.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Aston Villa,3-0,-102.0,223.0,258.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Southampton,5-1,-120.0,225.0,313.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs West Brom,4-0,-132.0,235.0,337.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Portsmouth,1-1,-270.0,303.0,709.0,2004-2005_full.csv
2004/2005,Unknown,Fulham vs Manchester Utd,1-1,565.0,280.0,-222.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Chelsea,2-2,129.0,210.0,190.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Birmingham,1-2,-118.0,229.0,290.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Blackburn,0-0,120.0,220.0,200.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Tottenham,0-1,110.0,220.0,220.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Portsmouth,1-1,-167.0,240.0,440.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Bolton,3-2,145.0,200.0,170.0,2004-2005_full.csv
2004/2005,Unknown,Southampton vs Middlesbrough,2-2,160.0,220.0,145.0,2004-2005_full.csv
2004/2005,Unknown,West Brom vs Charlton,0-1,145.0,220.0,160.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Liverpool,1-0,150.0,204.0,170.0,2004-2005_full.csv
2004/2005,Unknown,Middlesbrough vs Manchester City,3-2,-111.0,229.0,280.0,2004-2005_full.csv
2004/2005,Unknown,Crystal Palace vs Charlton,0-1,131.0,215.0,185.0,2004-2005_full.csv
2004/2005,Unknown,Blackburn vs Tottenham,0-1,129.0,215.0,190.0,2004-2005_full.csv
2004/2005,Unknown,Arsenal vs Birmingham,3-0,-303.0,323.0,825.0,2004-2005_full.csv
2004/2005,Unknown,Aston Villa vs Liverpool,1-1,131.0,219.0,184.0,2004-2005_full.csv
2004/2005,Unknown,Everton vs Bolton,3-2,114.0,216.0,227.0,2004-2005_full.csv
2004/2005,Unknown,Manchester Utd vs Southampton,3-0,-526.0,459.0,899.0,2004-2005_full.csv
2004/2005,Unknown,Norwich vs Fulham,0-1,129.0,219.0,188.0,2004-2005_full.csv
2004/2005,Unknown,Portsmouth vs West Brom,3-2,-115.0,229.0,292.0,2004-2005_full.csv
2004/2005,Unknown,Chelsea vs Newcastle,4-0,-238.0,290.0,590.0,2004-2005_full.csv
2004/2005,Unknown,Liverpool vs Arsenal,2-1,235.0,223.0,104.0,2004-2005_full.csv
2004/2005,Unknown,Tottenham vs Middlesbrough,2-0,136.0,227.0,170.0,2004-2005_full.csv
2004/2005,Unknown,Newcastle vs Everton,1-1,-119.0,229.0,295.0,2004-2005_full.csv
2004/2005,Unknown,Manchester City vs Aston Villa,2-0,127.0,223.0,190.0,2004-2005_full.csv
2004/2005,Unknown,Birmingham vs Norwich,1-1,-141.0,229.0,390.0,2004-2005_full.csv
2004/2005,Unknown,Bolton vs Portsmouth,0-1,-182.0,245.0,495.0,2004-2005_full.csv
2004/2005,Unknown,Charlton vs Chelsea,0-4,528.0,263.0,-200.0,2004-2005_full.csv
